Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
OK;0.1467;0.1433;0.1865;0.1869;0.1842;0.1877;0.1763;0.2167;0.2848;0.2542;0.2551;0.2768;0.2863;0.3137;0.5107;0.6124;0.4889;0.5712;0.5712;0.5874;0.6232;0.6795;0.7259;0.6782;0.6822;0.6255;0.5135;0.5506;0.6529;0.7177;0.6965;0.7437;0.7057;0.72;0.8145;0.7691;0.7934;0.7223;0.6034;0.7636;0.6143;0.7364;0.6539;0.6254;0.726
OR;0.2418;0.2404;0.2456;0.2317;0.2205;0.2318;0.2339;0.2707;0.3501;0.3031;0.3167;0.3278;0.3268;0.3536;0.5303;0.667;0.5049;0.5817;0.6016;0.6523;0.7623;0.8576;0.9466;0.8877;0.9013;0.8886;0.757;1.029;1.116;1.1674;1.1702;1.2363;1.105;1.1426;1.5023;1.3334;1.3969;1.3597;1.2785;1.3974;0.947;0.8994;1.0138;1.0786;1.1125
PA;0.1976;0.2044;0.2291;0.2291;0.228;0.2373;0.238;0.2651;0.3496;0.3155;0.3316;0.3654;0.3858;0.4287;0.5723;0.5712;0.5575;0.5865;0.5883;0.6331;0.6902;0.8028;0.9492;0.8381;0.9589;0.8892;0.7462;0.7439;0.9516;0.9972;0.9441;1.052;1.0041;0.9603;1.0789;1.018;1.0807;0.9889;0.8999;0.9946;0.9631;0.9778;0.7844;0.9563;1.0392
RI;0.1965;0.2032;0.2536;0.2537;0.2511;0.2511;0.253;0.3211;0.4617;0.4182;0.4485;0.5084;0.5396;0.561;0.6095;0.4549;0.7414;0.6944;0.724;0.8126;0.597;0.7369;1.0228;0.8421;1.2338;1.1105;0.9647;0.8409;1.056;1.1408;1.2257;1.2393;1.2748;1.2348;1.4244;1.3917;1.4318;1.3614;1.1888;1.1713;1.2011;1.238;1.0603;1.388;1.454
SC;0.4111;0.4259;0.4602;0.4672;0.4646;0.4858;0.5129;0.545;0.456;0.4339;0.4412;0.4719;0.5018;0.5348;0.6325;0.9664;0.7941;0.8359;0.8923;0.9044;0.913;1.0131;1.142;1.0795;1.1063;1.0639;0.9476;0.907;1.0765;1.1129;1.0362;1.0805;1.0513;1.0442;1.1015;0.9979;1.0301;0.9532;0.821;1.0791;0.9978;1.0799;1.1051;1.0003;0.9679
SD;0.2073;0.2102;0.2462;0.2493;0.2408;0.2542;0.2619;0.2831;0.3256;0.2792;0.278;0.3025;0.3166;0.3483;0.5619;0.6823;0.5162;0.6026;0.6031;0.6324;0.7318;0.7636;0.7763;0.7713;0.8548;0.8063;0.7182;0.737;0.8387;0.9154;0.7646;0.8894;0.7841;0.7638;0.8425;0.9154;0.9069;0.9332;0.7886;0.7874;0.7974;0.7804;0.7539;0.5948;0.6387
TN;0.2377;0.2482;0.2363;0.2333;0.2202;0.2372;0.2365;0.2009;0.2537;0.2615;0.2489;0.2812;0.2901;0.3255;0.4581;0.507;0.4749;0.5319;0.5589;0.5739;0.6079;0.6873;0.7917;0.7208;0.8398;0.7768;0.6799;0.6854;0.8119;0.8692;0.8847;0.9356;0.8942;0.8994;0.9541;0.9185;0.9601;0.9123;0.8488;0.8111;0.7495;0.8401;0.6577;0.8038;0.9055
TX;0.239;0.2373;0.2678;0.2559;0.2595;0.2662;0.2605;0.2961;0.3648;0.3406;0.3393;0.3652;0.372;0.3788;0.5971;0.7095;0.5379;0.6144;0.6344;0.6375;0.679;0.7329;0.786;0.7351;0.7488;0.7034;0.6097;0.6714;0.766;0.8754;0.8023;0.8115;0.7934;0.7913;0.8541;0.8088;0.8294;0.7893;0.6602;0.7649;0.679;0.7452;0.6945;0.6435;0.7833
UT;0.2035;0.2028;0.2597;0.2577;0.2679;0.2913;0.2947;0.1929;0.3383;0.3184;0.3198;0.3366;0.3428;0.3847;0.648;0.8121;0.5003;0.6485;0.6737;0.7202;0.8305;0.8702;1.0114;0.9341;0.9456;0.8923;0.8339;0.8535;0.9097;0.9544;0.9424;1.0018;0.9521;0.9961;1.0725;1.0837;1.2181;1.2144;1.0779;1.2784;1.099;1.1717;0.9947;1.1347;1.3031
VA;0.2754;0.2817;0.2885;0.2913;0.2938;0.3057;0.3069;0.3037;0.3238;0.3001;0.3148;0.3499;0.367;0.3976;0.4205;0.5263;0.5874;0.6022;0.6056;0.6327;0.6553;0.7461;0.896;0.8566;0.9274;0.9208;0.7956;0.7167;0.8717;0.92;0.8879;0.9364;0.9213;0.9053;0.9455;0.9587;0.9932;0.9695;0.8726;0.8401;0.953;0.9595;0.8207;0.9258;0.9735
VT;0.1449;0.1456;0.1062;0.1054;0.1026;0.0807;0.0912;0.1296;0.2526;0.2414;0.2579;0.2895;0.3186;0.3476;0.4117;0.5875;0.5846;0.5785;0.6283;0.669;0.5044;0.6207;0.9735;0.8659;1.0198;0.9671;0.8012;0.6724;0.9047;0.9714;0.9027;0.9955;0.9332;0.8979;0.9545;1.0208;1.0845;0.9736;0.8293;0.8062;0.9924;1.0706;0.8616;1.0655;1.037
WA;0.2218;0.2201;0.2465;0.2239;0.2186;0.2154;0.2287;0.2477;0.3049;0.2503;0.2838;0.3142;0.3317;0.3566;0.4811;0.6221;0.4755;0.5315;0.5227;0.5341;0.592;0.6635;0.7585;0.7055;0.7546;0.7589;0.6315;0.7432;0.7383;0.8504;0.8766;0.9571;0.8786;0.9736;0.9741;1.0104;1.1638;0.9774;1.0201;1.1466;1.0564;1.0861;0.903;1.1109;1.1801
WI;0.2314;0.236;0.2897;0.2972;0.2943;0.2996;0.2998;0.3343;0.3921;0.3574;0.3596;0.3934;0.4089;0.4409;0.6321;0.7562;0.6147;0.6745;0.6766;0.7154;0.6762;0.7494;0.8557;0.7895;0.8539;0.7953;0.6567;0.6641;0.8451;0.9196;0.8892;0.9575;0.9199;0.8983;0.9571;0.9262;0.9618;0.9175;0.8413;0.8755;0.7519;0.7661;0.8294;0.7203;0.8224
WV;0.1529;0.1576;0.1788;0.1728;0.1795;0.1843;0.1889;0.1967;0.2639;0.2478;0.2629;0.2998;0.3139;0.367;0.4584;0.4587;0.5008;0.4786;0.5047;0.5431;0.7188;0.7703;0.8219;0.7732;0.8289;0.7943;0.6747;0.6676;0.8203;0.8685;0.8544;0.9678;0.9571;0.8795;0.9675;1.0178;1.0589;1.03;0.9859;0.9074;1.1256;1.1761;0.8876;1.1047;1.1867
WY;0.2428;0.2447;0.2654;0.2574;0.2508;0.2557;0.2597;0.2533;0.2927;0.2599;0.2587;0.2802;0.2966;0.3246;0.529;0.6774;0.5287;0.594;0.6003;0.6089;0.6704;0.7348;0.8643;0.8055;0.7923;0.7528;0.6197;0.7204;0.7634;0.8904;0.7856;0.8148;0.8056;0.8219;0.9352;0.9388;0.9701;0.9417;0.7856;0.784;0.86;0.7662;0.749;0.7252;0.7675
