Year;AL;AR;AZ;CA;CO;CT;DE;FL;GA;IA;ID;IL;IN;KS;KY;LA;MA;MD;ME;MI;MN;MO;MS;MT;NC;ND;NE;NH;NJ;NM;NV;NY;OH;OK;OR;PA;RI;SC;SD;TN;TX;UT;VA;VT;WA;WI;WV;WY
1980;0.79496251777962;1.03978126672691;0.474424724487616;2.91358076901683;1.1749493197964;0.0898618359874236;0.151654132102598;0.982049182457287;1.06246859290198;3.79628663880921;0.689422625674795;2.40031863748637;1.48870436353568;2.04116777867276;0.747123299098846;0.520175124907152;0.0807498073331176;0.387734434286223;0.187652019902402;1.01049469251393;2.45101025057104;1.47988898350783;0.773843727109336;0.543183095717153;1.09900783252626;0.996131450096736;2.68359914510621;0.0402225690723913;0.120706452918605;0.344009038653442;0.0894541229831442;1.04636942154573;1.28776209300066;1.08375815673267;0.493979998695798;1.00134261436491;0.00882512839064896;0.378558203527937;1.08602866700222;0.729845644608648;3.03695829547631;0.229013713062991;0.625739103308321;0.171335662569983;0.693132366708919;2.09493677005785;0.12782492683866;0.291380520003301
1981;0.73891639039696;0.966451957559925;0.437163978686754;3.0014614031094;0.985171912682935;0.0816946005420327;0.146915792197915;0.899692430734972;1.03513913113398;3.47592520250267;0.707330486578209;2.22811256050675;1.37279476988266;1.79040236942906;0.695824331706192;0.475591786879135;0.0772735698375323;0.386384846446454;0.170341347083804;0.980207849634554;2.35133325360007;1.30310489411962;0.733720862181926;0.545631899726594;1.09757674217314;0.907191551367506;2.42751140977274;0.037129178402638;0.108179491403384;0.28923967545861;0.0849266107703019;0.971002441618758;1.19142296773282;0.910751920761945;0.541819035070074;0.958599871273823;0.00779578729010359;0.347609850456596;0.992775924805266;0.693362891763098;2.92911708700403;0.235348714125415;0.563191869068337;0.162061272161537;0.773745413258919;2.01171024353972;0.121063029290528;0.250562019184289
1982;0.679031271826807;0.895407805473677;0.45358643408191;2.94884087685612;1.02064204442611;0.0765044848462853;0.145556453245014;0.852659943938093;0.914552599513024;3.4269236749336;0.673951500517663;2.25172271166874;1.3873883705163;1.86071421240536;0.683320833492515;0.451949704530864;0.0746482124689614;0.358924494732422;0.131484366893553;0.971791662295979;2.35641116435837;1.33443407156413;0.690860813941564;0.542855434301927;1.04463746019977;0.882125111702715;2.5353490613858;0.0364349957609162;0.107119182962347;0.296497706708461;0.0721673871585085;0.859503963403808;1.12754963699386;0.79691638782299;0.496204982640347;0.92398949709993;0.00788617912390773;0.304172287714119;1.10041895903093;0.677130277631222;2.90805675104203;0.223455150758056;0.531841663171772;0.152720560572001;0.74644187168171;1.86958231911708;0.115345826469295;0.256089290469582
1983;0.675217531764494;0.919923503411894;0.438608004556959;2.76692224383641;1.04415612219726;0.0781461698102726;0.142564611834591;0.862740944094572;0.91545712482505;3.1157264327176;0.643670436593359;2.07474276053479;1.37653903500035;1.84965187647712;0.661611876285975;0.451402901140875;0.0743835358783585;0.359977812997282;0.131688387374444;1.00700541025271;2.31910434304849;1.33577236950843;0.709178945760989;0.53468306607638;0.984648033339252;0.918680476295528;2.53626180999213;0.0361642295593672;0.102868701888213;0.306748407673218;0.081263663589845;0.928179665813883;1.13176236671957;0.793283225351065;0.490883328782829;0.987639844848297;0.00783125963010506;0.299163906817847;1.113671823512;0.680712013890394;2.70841799972655;0.222736750344223;0.517712233718313;0.150520899031766;0.716472254779236;1.99675508135836;0.123000214149763;0.279630201387394
1984;0.718647708524775;0.964558181442653;0.430538973459557;3.00855534096382;1.07162874419168;0.074688767531938;0.166397321785856;0.840465017136359;0.953919404524973;2.8304921771098;0.633952245662775;1.97537746154625;1.25260157384605;1.91168445854364;0.600406785048399;0.465991816995566;0.071051833276176;0.368722765515122;0.123557848125286;0.996924307991711;2.2307934321446;1.18283097225876;0.766853880369981;0.492969011124252;1.05444182975358;0.867247755956454;2.4249094718256;0.0331188303213183;0.100986150576334;0.311828688537897;0.0857308942532153;0.86499214080871;1.10376121679812;0.826835174197025;0.509352985316742;0.904580637119507;0.00764660407449195;0.301983301566008;1.05823703605118;0.669655013660651;2.77770234590876;0.20850634296699;0.506288307796547;0.139133626373377;0.739624200356331;1.86162975036002;0.122760621543434;0.270414727177166
1985;0.684606134820849;0.917839278495768;0.406615198458919;2.76339217851912;1.06950941367409;0.0719031161436144;0.158614058481417;0.794671550670308;0.90649761068299;2.8288152999538;0.620523219896859;2.00042516098226;1.242868775179;1.89276154627393;0.608488773352558;0.429879797937083;0.0687045951047785;0.352887595555965;0.103143376947702;0.942141766662476;2.24894154912644;1.15480033320439;0.676692607743694;0.437975989590959;0.975996596322903;0.856494580690169;2.48809057252782;0.0321885696773951;0.101341704771796;0.303158593846499;0.0747913063269984;0.830445891319389;1.09805365843295;0.83682648600346;0.494482959496418;0.955473076145069;0.00762676361949808;0.289733701220614;1.08067722054301;0.677976123322112;2.68179406747168;0.20565563314032;0.497998422608028;0.132458581566574;0.678896602389045;1.90774745724449;0.12388407300708;0.272625117625555
1986;0.708850132302952;1.05170787418047;0.409717305189808;2.96949689331765;1.14374671710692;0.0761376768814684;0.166411514511236;0.818883361111085;0.954408120802779;2.98881137200872;0.598477907990683;1.91528009359417;1.33811690114397;2.13459433472543;0.661375063367439;0.449402120975131;0.0713487622795749;0.35645142964961;0.107769081789506;0.995027764988435;2.25490192805564;1.28370775930363;0.691666304425357;0.412916229777463;1.00095899173315;0.850225809831898;2.7476427696312;0.0332773345389888;0.10461837865053;0.32824260124693;0.0816365299546005;0.819027605065038;1.18337419838189;0.91806315973708;0.490079019805986;0.990710325045832;0.00766943087533211;0.290313081381487;1.04861724868827;0.665269223653054;2.96996771101966;0.21378507254744;0.499421664044218;0.141202927519721;0.709398458521398;1.831508475951;0.116750733766471;0.246889160226034
1987;0.79745516578897;1.14251900582963;0.39817016356336;2.87723453922112;1.17203055025487;0.0761586383920803;0.184601976534754;0.875317797707238;1.02417497540741;3.0979233448466;0.621216399564123;1.76246000448534;1.34294481364539;2.0301129151899;0.631698576717346;0.445704318060701;0.0691116303017137;0.353323390176891;0.113092364654411;0.975675925216086;2.14238347687549;1.30424726735051;0.750104629055418;0.479262874276372;1.03829197851104;0.877746102853644;2.76264676954254;0.0318815604463763;0.104227307086114;0.343201431766778;0.0803204397596369;0.841853806080385;1.11996568980833;0.973543646357725;0.486690429364854;0.986160987008063;0.00778719676528327;0.295451468655366;1.13271154522126;0.677497992091071;2.93123257317472;0.221420883974609;0.51452665053817;0.137696519395053;0.745758540502717;1.96735498293979;0.11395644860678;0.289114532862477
1988;0.796410601357413;1.12881488300252;0.374760954780997;2.84729051043868;1.19376287613786;0.0663615749937911;0.180744897653066;0.864619070974081;0.897064528831685;2.79529474129411;0.631103640793636;1.70075528811938;1.18366821450384;2.01646717417656;0.684298895791669;0.470162918359485;0.0652331308344129;0.334936707925762;0.107245986569706;0.821413570859329;2.0050015470244;1.23290093945849;0.779088431238471;0.480358485353838;1.02660738834719;0.794059380227705;2.68774567616353;0.0291218036543554;0.106310265586324;0.344490119998885;0.0783119981060264;0.788477944215967;1.00373515188059;1.0425309548145;0.499128711924304;0.948277299045728;0.00752696830037635;0.281820759401059;1.03808462461371;0.649161825465517;2.92666357676961;0.226667323886113;0.535559968286091;0.12448102285028;0.790354658379893;1.61933611300035;0.110440029676162;0.290268774317254
1989;0.82087923366654;1.26839990591144;0.358623476425239;3.02639323189929;1.09677285408011;0.0710417638907584;0.197198094874291;0.89830130629055;0.935541393191448;2.77317702240298;0.632876959443318;1.72812078485087;1.17403724783108;1.94676358656813;0.672837619883688;0.49139587289183;0.0672703071185024;0.359784720764355;0.111273937978895;0.90364709398472;1.97563234388594;1.17175205529696;0.838516789638284;0.449702351587524;1.05341899616817;0.714934079280556;2.58258385075894;0.029852387192287;0.109379410309793;0.327898743273306;0.0770993988960787;0.804081315632791;0.981443560350517;1.07169398011772;0.544300266574159;0.983856751150982;0.00764220037519403;0.32013950893549;0.906565019479968;0.595463970122766;2.82645645650632;0.205877057678233;0.524017309763568;0.130628233975419;0.781918390751832;1.61224118162037;0.10489027962356;0.267059809682221
1990;0.847691401361262;1.39401575493928;0.327943449835439;3.02867905471923;1.10072208241086;0.0740620266801696;0.201773463815672;0.847818940610679;0.913829434370036;2.99824969364047;0.610151274548248;1.7927499153597;1.2855352248956;2.10932133482098;0.74952763657935;0.505612503689985;0.0664878809373916;0.370605294175323;0.110709296242353;0.992796387786767;2.17158997563454;1.32323365850032;0.849160294341026;0.466371737064705;1.04112570837503;0.767479025801443;2.68821231515208;0.0287434412627616;0.112277664294305;0.323537666949568;0.0763089704059333;0.826276611794132;1.03857312038771;1.07909669455313;0.50663266749331;1.01133388648487;0.00738021560377519;0.301687945529209;1.04477447877252;0.599853668184566;3.01213167573482;0.198011164189773;0.515168056545628;0.137166591836792;0.777228296479596;1.85479752627086;0.119194721578335;0.225539330763642
1991;0.847466872605468;1.43767854264257;0.350541193381705;3.29161117859666;1.07061755057058;0.0722556092724677;0.211018022739094;0.83846465281957;0.961808773618475;2.96009196143126;0.577745806508058;1.91031504918207;1.28532566303711;1.96536908228915;0.744408178308468;0.530367127341332;0.0673894136565976;0.376698967000495;0.109833200026314;1.06117605826585;2.31081592374613;1.35381611268516;0.88792576713922;0.468626456905855;1.04551748047165;0.798438776537237;2.58712919157322;0.0281363365634396;0.116679005555283;0.347076063629909;0.0727247543452492;0.842512144416467;1.08102305336491;1.15028498494758;0.510896303466389;0.961431264338324;0.00726492278497073;0.304252771420733;1.00592567693662;0.579495014905192;3.21201921881085;0.20309978387503;0.480324712538455;0.135003547647602;0.839483732879699;1.87751858056951;0.111255019984486;0.30316843663057
1992;0.825489967267332;1.35553956200032;0.367542640725423;3.32284909516791;1.1145241745676;0.072616866993851;0.208058604673848;0.807698289671005;0.950556103260093;2.94557699636172;0.611805783075984;1.9245426441354;1.30115637383877;2.12196725096618;0.753408252370077;0.531700544966335;0.062784736787875;0.368850786490408;0.101903613105011;1.00447329309521;2.34570921879926;1.37051258086838;0.877321352037466;0.439701602558157;1.14461738410797;0.821555581263371;2.60615672630868;0.0272455751270483;0.116331296918465;0.324401575498347;0.0778130704560741;0.763268163157845;1.04993255497734;1.0490085017844;0.5170060189234;0.904901889396126;0.00680910636221878;0.299391978270606;1.00759988638928;0.604053653076681;3.1095332718897;0.220522486023121;0.526455752430736;0.127061283609981;0.879574537606137;1.70638345658982;0.101399210049509;0.216911208609058
1993;0.774369294863326;1.49317282641997;0.373352501785355;3.59108364151396;1.15017157375927;0.076499882797738;0.207698200678135;0.920951458479486;1.03347101222454;2.91346051230363;0.596866805089093;1.93266871172985;1.39898486460793;2.06965476295845;0.775838612887665;0.55689048024704;0.06507400942612;0.374831209033485;0.105028914491822;1.0946328759019;2.30320466886692;1.42914824296766;0.995305508158573;0.451262506112978;1.19351860285446;0.825252124479941;2.65950085746705;0.0273075373636767;0.116086471713988;0.3301049004477;0.0756715992185155;0.761849319234901;1.1208870383904;1.0455401858532;0.540838787521652;0.952346407964027;0.00694993078860275;0.323442527172567;0.949933058868059;0.639615839595349;3.24722552154747;0.212283467597135;0.555919834722517;0.128001979706953;0.954770182233991;1.6669742866534;0.122954903896805;0.275516985492616
