Firm;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
PA;0.3583;0.3522;0.3486;0.3434;0.3421;0.351;0.3905;0.3901;0.4038;0.4343;0.4458;0.4355;0.4673;0.6014;0.6278;0.6446;0.6916;0.6794;0.7494;0.8557;0.8736;0.9105;0.8976;0.8729;0.9049;0.8423;0.8362;0.8424;0.8584;0.9532;0.9968;0.9011;0.9116;0.9215;0.9111;0.8885;0.9811;0.9385;0.9777;0.9623;0.9091;1.019;0.8812;0.9924;1.1314
RI;0.4593;0.4395;0.4372;0.4269;0.4193;0.4325;0.4675;0.4396;0.4627;0.4991;0.4998;0.4883;0.5184;0.6599;0.6961;0.6902;0.7486;0.739;0.8078;0.8929;0.9002;1.0064;0.9836;0.9376;1.0172;0.9209;0.932;0.938;0.9464;1.0762;1.085;1.0303;1.0045;1.0256;1.0042;0.8511;0.964;0.8891;0.9738;0.9496;0.9121;0.9825;0.8216;1.018;1.1509
SC;0.3538;0.3497;0.3475;0.3412;0.3324;0.3486;0.3867;0.3578;0.3648;0.3994;0.3978;0.3682;0.4186;0.6074;0.5419;0.5675;0.6074;0.5867;0.7072;0.8032;0.7697;0.7821;0.7804;0.7762;0.8472;0.778;0.8026;0.7814;0.8123;0.8788;0.9295;0.8826;0.8418;0.8995;0.898;0.8751;0.9642;0.9599;0.9355;0.9237;0.9051;0.9776;0.8162;0.892;1.0865
SD;0.3565;0.3604;0.3711;0.3515;0.331;0.3746;0.4263;0.4006;0.4154;0.4683;0.4784;0.4788;0.5673;0.7551;0.6605;0.6791;0.7049;0.7194;0.9062;1.1232;1.0895;1.0302;1.0501;1.0137;1.025;0.9804;0.9727;1.0976;1.1229;1.1562;1.286;1.2487;1.1776;1.2426;1.1318;1.0682;1.0926;1.1706;1.0822;1.1368;1.2566;1.2555;1.1586;1.2995;1.5051
TN;0.306;0.3063;0.3085;0.3026;0.2891;0.3159;0.3626;0.3499;0.3602;0.3974;0.409;0.3978;0.4572;0.6203;0.5603;0.5599;0.6238;0.6056;0.7553;0.8967;0.863;0.8691;0.8756;0.8577;0.8713;0.8455;0.84;0.9206;0.963;1.0192;1.0846;1.0387;1.0122;1.0561;0.9956;0.9261;0.9552;1.0622;1.0582;1.0625;1.0822;1.1155;0.9758;1.0796;1.3346
TX;0.3159;0.3262;0.3277;0.3167;0.2889;0.3203;0.3795;0.3675;0.3906;0.4513;0.4629;0.4754;0.5542;0.7112;0.5791;0.5474;0.5995;0.6;0.812;1.0986;1.0644;1.0509;1.0202;1.0043;1.0321;0.9444;0.9392;1.0546;1.1065;1.1775;1.2557;1.2114;1.1839;1.2221;1.1318;1.0596;1.0719;1.1318;1.0814;1.1116;1.1926;1.2496;1.1516;1.3442;1.4552
UT;0.3006;0.2888;0.3028;0.2969;0.2805;0.3002;0.3405;0.3314;0.3486;0.3826;0.3923;0.3991;0.4402;0.5873;0.517;0.5223;0.5647;0.5921;0.7493;0.9095;0.8963;0.8528;0.8306;0.8209;0.91;0.8776;0.8698;0.903;0.957;0.9878;1.0376;0.9802;0.997;1.051;0.9842;0.926;0.9526;0.9783;1.0074;0.9829;0.9976;1.0845;0.9722;1.0751;1.2559
VA;0.3484;0.3309;0.3417;0.3328;0.3255;0.3433;0.3768;0.3616;0.3726;0.4018;0.4126;0.4036;0.4514;0.6113;0.5722;0.5981;0.6153;0.6155;0.7285;0.8271;0.8169;0.8359;0.8191;0.8066;0.8671;0.838;0.8508;0.8527;0.9102;0.9802;1.0005;0.9409;0.9351;0.9594;0.9463;0.9169;0.9639;0.9745;0.9969;0.9713;0.9968;1.0409;0.893;0.9687;1.1815
VT;0.304;0.2896;0.2843;0.2835;0.2845;0.2881;0.3264;0.3331;0.3518;0.3737;0.3884;0.3968;0.4182;0.496;0.549;0.5502;0.6104;0.6077;0.6929;0.8009;0.8487;0.8878;0.8708;0.8391;0.8332;0.8084;0.787;0.8223;0.8238;0.8995;0.9229;0.8478;0.8823;0.8698;0.8656;0.8101;0.9179;0.8744;0.964;0.9566;0.88;0.9946;0.8175;0.8873;1.0813
WA;0.3611;0.3564;0.3568;0.3463;0.3335;0.3464;0.3915;0.3909;0.414;0.4467;0.4529;0.4618;0.5036;0.6351;0.6186;0.612;0.6641;0.6651;0.7851;0.952;0.9546;0.9957;0.9764;0.9558;0.9644;0.8924;0.8633;0.9177;0.9534;1.0383;1.0703;1.0034;1.031;1.0385;0.9985;0.9521;0.9893;1.0264;1.0937;1.0889;1.0779;1.1528;0.9758;1.0863;1.3058
WI;0.2449;0.2491;0.243;0.2391;0.2379;0.2527;0.3035;0.2958;0.3095;0.3391;0.3537;0.3534;0.3878;0.4954;0.5103;0.5493;0.601;0.6026;0.6922;0.814;0.8428;0.8832;0.8756;0.8437;0.8436;0.8027;0.7892;0.8194;0.8219;0.9044;0.9342;0.8465;0.8818;0.8794;0.8607;0.8418;0.9468;0.889;0.9671;0.8914;0.8064;0.9329;0.8198;0.9245;1.1175
WV;0.3353;0.3218;0.3283;0.3204;0.3133;0.3296;0.3659;0.3548;0.3644;0.3943;0.4061;0.4021;0.4426;0.6003;0.544;0.5544;0.5821;0.5884;0.7167;0.8318;0.8389;0.8297;0.792;0.7951;0.8402;0.8184;0.8177;0.8271;0.931;0.9754;1.0086;0.9326;0.9436;0.9994;0.9532;0.8998;0.9033;0.9397;0.9872;0.9704;0.9913;1.0302;0.8903;0.9687;1.1665
WY;0.3508;0.3517;0.3842;0.3543;0.3301;0.3725;0.4128;0.4075;0.4296;0.4693;0.4911;0.5122;0.627;0.781;0.5536;0.5633;0.6169;0.6595;0.9835;1.2576;1.1501;1.0438;1.0169;0.9881;1.0126;0.9712;0.9792;1.185;1.2375;1.2382;1.3525;1.3693;1.3489;1.4127;1.2944;1.1383;1.0539;1.2955;1.1569;1.2696;1.4447;1.3978;1.2853;1.5315;1.7723
